Paragraph,Titel,Anchor,Absatz,Text
25a,Datenerhebung durch den verdeckten Einsatz technischer Mittel außerhalb von Wohnungen,,,einer terroristischen Straftat oder
25a,Datenerhebung durch den verdeckten Einsatz technischer Mittel außerhalb von Wohnungen,,,einer in § 100a Absatz 2 der Strafprozessordnung genannten und auch im Einzelfall voraussichtlich schwerwiegenden Straftat
25a,Datenerhebung durch den verdeckten Einsatz technischer Mittel außerhalb von Wohnungen,,,bestehen muss.
25a,Datenerhebung durch den verdeckten Einsatz technischer Mittel außerhalb von Wohnungen,P25a-A3,3,Maßnahmen nach
25a,Datenerhebung durch den verdeckten Einsatz technischer Mittel außerhalb von Wohnungen,,,"Absatz 1, die jeweils durchgehend länger als 24 Stunden oder an mehr als zwei Tagen durchgeführt werden oder die die Erstellung eines Bewegungsbilds ermöglichen, und"
25a,Datenerhebung durch den verdeckten Einsatz technischer Mittel außerhalb von Wohnungen,,,Absatz 2
25a,Datenerhebung durch den verdeckten Einsatz technischer Mittel außerhalb von Wohnungen,,,"bedürfen der gerichtlichen Anordnung, die von der Polizeipräsidentin oder dem Polizeipräsidenten oder der Vertretung im Amt zu beantragen ist. Bei Gefahr im Verzug kann die Anordnung durch die Polizeipräsidentin oder den Polizeipräsidenten oder die Vertretung im Amt getroffen werden. Die gerichtliche Bestätigung der Anordnung ist in diesem Fall unverzüglich einzuholen; dies gilt auch, wenn die Maßnahme bereits beendet ist. Die Anordnung tritt außer Kraft, wenn sie nicht binnen drei Werktagen gerichtlich bestätigt wird. In diesem Fall dürfen die bereits erhobenen Daten nicht mehr verwendet werden; diese Daten sind unverzüglich zu löschen. Sind bereits Daten übermittelt worden, die nach Satz 5 zu löschen sind, so ist die empfangende Stelle darüber zu unterrichten. Im Übrigen dürfen Maßnahmen nach Absatz 1 nur von der Polizeipräsidentin oder dem Polizeipräsidenten oder der Vertretung im Amt angeordnet werden. Die Polizeipräsidentin oder der Polizeipräsident kann die Antragsbefugnis im Falle von Maßnahmen nach Absatz 1 sowie die Anordnungsbefugnis im Falle von Maßnahmen im Sinne von Satz 7 auf die Leitung des Landeskriminalamtes sowie die Leitungen der Direktionen und deren jeweilige Vertretung im Amt übertragen."
25a,Datenerhebung durch den verdeckten Einsatz technischer Mittel außerhalb von Wohnungen,P25a-A4,4,"Die Anordnung ist auf höchstens drei Monate zu befristen. Eine Verlängerung um jeweils nicht mehr als drei weitere Monate ist auf Antrag zulässig, soweit die Voraussetzungen der Anordnung fortbestehen. Liegen die Voraussetzungen der Anordnung nicht mehr vor, ist die Maßnahme unverzüglich zu beenden."
25a,Datenerhebung durch den verdeckten Einsatz technischer Mittel außerhalb von Wohnungen,P25a-A5,5,"Soll eine Maßnahme nach den Absätzen 1 und 2 ausschließlich zum Schutz von Leib, Leben oder Freiheit der bei einem polizeilichen Einsatz tätigen Personen erfolgen, darf die Maßnahme auch durch die Leitung des Landeskriminalamtes sowie die Leitung einer Direktion oder deren jeweiliger Vertretung im Amt oder durch von dieser besonders beauftragte Beamtinnen oder Beamten des höheren Dienstes angeordnet werden. Eine anderweitige Verwendung der nach Satz 1 erlangten Erkenntnisse ist nur zum Zweck der Strafverfolgung oder der Gefahrenabwehr und nur dann zulässig, wenn zuvor die Rechtmäßigkeit der Maßnahme gerichtlich festgestellt wurde. Bei Gefahr im Verzug kann die Entscheidung nach Satz 2 durch die Polizeipräsidentin oder den Polizeipräsidenten oder die Vertretung im Amt getroffen werden. Absatz 3 Satz 3 bis 6 gilt entsprechend."
25b,Verdeckter Einsatz technischer Mittel zur Erhebung von Daten in oder aus Wohnungen,P25b-A1,1,"Die Polizei kann personenbezogene Daten ohne Kenntnis der betroffenen Personen durch den verdeckten Einsatz technischer Mittel zur Anfertigung von Bildaufnahmen oder -aufzeichnungen und zum Abhören oder Aufzeichnen des nicht öffentlich gesprochenen Wortes in oder aus Wohnungen nur erheben, wenn"
25b,Verdeckter Einsatz technischer Mittel zur Erhebung von Daten in oder aus Wohnungen,,,"das zur Abwehr einer gegenwärtigen Gefahr für den Bestand oder die Sicherheit des Bundes oder eines Landes oder für Leib, Leben oder Freiheit einer Person unerlässlich ist,"
25b,Verdeckter Einsatz technischer Mittel zur Erhebung von Daten in oder aus Wohnungen,,,"sich die Maßnahme gegen eine Person richtet,"
25b,Verdeckter Einsatz technischer Mittel zur Erhebung von Daten in oder aus Wohnungen,,,"die nach § 13 oder § 14 für die Gefahr verantwortlich ist, oder"
25b,Verdeckter Einsatz technischer Mittel zur Erhebung von Daten in oder aus Wohnungen,,,"bei der konkrete Vorbereitungshandlungen für sich oder zusammen mit weiteren Tatsachen die begründete Annahme rechtfertigen, dass sie terroristische Straftaten begehen oder an ihnen teilnehmen wird, und"
25b,Verdeckter Einsatz technischer Mittel zur Erhebung von Daten in oder aus Wohnungen,,,die Daten erhoben werden
25b,Verdeckter Einsatz technischer Mittel zur Erhebung von Daten in oder aus Wohnungen,,,in oder aus der Wohnung der in Nummer 2 genannten Person oder
25b,Verdeckter Einsatz technischer Mittel zur Erhebung von Daten in oder aus Wohnungen,,,"in oder aus Wohnungen anderer Personen, wenn auf Grund von Tatsachen anzunehmen ist, dass sich eine in Nummer 2 genannte Person dort aufhält und eine Datenerhebung allein in oder aus deren Wohnung nicht zur Abwehr der Gefahr führen wird."
25b,Verdeckter Einsatz technischer Mittel zur Erhebung von Daten in oder aus Wohnungen,,,"Die Maßnahmen dürfen auch durchgeführt werden, wenn andere Personen unvermeidbar betroffen werden."
25b,Verdeckter Einsatz technischer Mittel zur Erhebung von Daten in oder aus Wohnungen,P25b-A2,2,"Soweit dies zur Durchführung der Maßnahme erforderlich ist, sind unter den Voraussetzungen des Absatzes 1 auch das verdeckte Durchsuchen von Sachen sowie das verdeckte Betreten und Durchsuchen von Räumlichkeiten der betroffenen Personen zulässig."
25b,Verdeckter Einsatz technischer Mittel zur Erhebung von Daten in oder aus Wohnungen,P25b-A3,3,"Maßnahmen nach Absatz 1 und 2 bedürfen der gerichtlichen Anordnung, die von der Polizeipräsidentin oder dem Polizeipräsidenten oder der Vertretung im Amt zu beantragen ist. Bei Gefahr im Verzug kann die Anordnung durch die Polizeipräsidentin oder den Polizeipräsidenten oder die Vertretung im Amt getroffen werden. Die gerichtliche Bestätigung der Anordnung ist in diesem Fall unverzüglich einzuholen; dies gilt auch, wenn die Maßnahme bereits beendet ist. Die Anordnung tritt außer Kraft, wenn sie nicht binnen drei Werktagen gerichtlich bestätigt wird. In diesem Fall dürfen die bereits erhobenen Daten nicht mehr verwendet werden; diese Daten sind unverzüglich zu löschen. Sind bereits Daten übermittelt worden, die nach Satz 5 zu löschen sind, so ist die empfangende Stelle darüber zu unterrichten."
25b,Verdeckter Einsatz technischer Mittel zur Erhebung von Daten in oder aus Wohnungen,P25b-A4,4,"Die Anordnung nach Absatz 3 ist auf höchstens einen Monat zu befristen. Eine Verlängerung um jeweils nicht mehr als einen weiteren Monat ist auf Antrag zulässig, soweit die Voraussetzungen der Anordnung fortbestehen. Liegen die Voraussetzungen der Anordnung nicht mehr vor, ist die Maßnahme unverzüglich zu beenden."
25b,Verdeckter Einsatz technischer Mittel zur Erhebung von Daten in oder aus Wohnungen,P25b-A5,5,"Das anordnende Gericht ist fortlaufend über den Verlauf der Maßnahme, ihre Ergebnisse, die auf diesen beruhenden weiteren Maßnahmen sowie die Beendigung der Maßnahme zu unterrichten. Sämtliche mit einer Maßnahme nach Absatz 1 erhobenen personenbezogenen Daten sind dem anordnenden Gericht zudem unverzüglich vorzulegen und dürfen bis zu der Entscheidung des Gerichts nicht verwendet werden. Das Gericht entscheidet unverzüglich über die Verwertbarkeit oder Löschung dieser Daten zum Schutz des Kernbereichs privater Lebensgestaltung nach § 27a Absatz 1 und 3 sowie zum Schutz zeugnisverweigerungsberechtigter Berufsgeheimnisträgerinnen und Berufsgeheimnisträger nach § 18a; es unterrichtet die Polizei unverzüglich über den Inhalt der verwertbaren Daten. § 27a Absatz 5 gilt entsprechend."
25b,Verdeckter Einsatz technischer Mittel zur Erhebung von Daten in oder aus Wohnungen,P25b-A6,6,"Erfolgt eine Maßnahme nach Absatz 1 ausschließlich zum Schutz von Leib, Leben oder Freiheit der bei einem polizeilichen Einsatz tätigen Personen, darf die Maßnahme auch durch die Leitung des Landeskriminalamtes sowie die Leitung einer Direktion oder deren jeweiliger Vertretung im Amt oder durch von dieser besonders beauftragte Beamtinnen oder Beamten des höheren Dienstes angeordnet werden. Eine anderweitige Verwendung der nach Satz 1 erlangten Erkenntnisse ist nur zum Zweck der Strafverfolgung oder der Gefahrenabwehr und nur dann zulässig, wenn zuvor die Rechtmäßigkeit der Maßnahme gerichtlich festgestellt wurde. Bei Gefahr im Verzug kann die Entscheidung nach Satz 2 durch die Polizeipräsidentin oder den Polizeipräsidenten oder die Vertretung im Amt getroffen werden. Absatz 3 Satz 4 bis 6 gilt entsprechend."
25c,"Datenerhebung durch Personen, deren Zusammenarbeit mit der Polizei Dritten nicht bekannt ist, und durch Verdeckte Ermittler",P25c-A1,1,Die Polizei kann personenbezogene Daten unter den in § 25 Absatz 1 Satz 1 Nummer 1 und 2 genannten Voraussetzungen durch
25c,"Datenerhebung durch Personen, deren Zusammenarbeit mit der Polizei Dritten nicht bekannt ist, und durch Verdeckte Ermittler",,,"Personen, deren Zusammenarbeit mit ihr Dritten nicht bekannt ist (V-Personen),"
25c,"Datenerhebung durch Personen, deren Zusammenarbeit mit der Polizei Dritten nicht bekannt ist, und durch Verdeckte Ermittler",,,"Polizeivollzugsbeamte, die unter einer Legende eingesetzt werden (Verdeckte Ermittler),"
25c,"Datenerhebung durch Personen, deren Zusammenarbeit mit der Polizei Dritten nicht bekannt ist, und durch Verdeckte Ermittler",,,"erheben, wenn die Abwehr der Gefahr oder die Verhütung der Straftat auf andere Weise aussichtslos oder wesentlich erschwert wäre und die Maßnahme nicht außer Verhältnis zur Bedeutung des aufzuklärenden Sachverhalts steht. Die Maßnahme darf auch durchgeführt werden, wenn andere Personen unvermeidbar betroffen werden."
25c,"Datenerhebung durch Personen, deren Zusammenarbeit mit der Polizei Dritten nicht bekannt ist, und durch Verdeckte Ermittler",P25c-A2,2,"Soweit es für den Aufbau oder zur Aufrechterhaltung der Legende unerlässlich ist, dürfen entsprechende Urkunden hergestellt oder verändert werden. Verdeckte Ermittler dürfen unter der Legende zur Erfüllung ihres Auftrages am Rechtsverkehr teilnehmen."
25c,"Datenerhebung durch Personen, deren Zusammenarbeit mit der Polizei Dritten nicht bekannt ist, und durch Verdeckte Ermittler",P25c-A3,3,Verdeckte Ermittler dürfen unter ihrer Legende mit Einwilligung der berechtigten Person deren Wohnung betreten. Die Einwilligung darf nicht durch ein über die Nutzung der Legende hinausgehendes Vortäuschen eines Zutrittsrechts herbeigeführt werden. Eine heimliche Durchsuchung ist unzulässig. Im Übrigen richten sich die Befugnisse Verdeckter Ermittler nach diesem Gesetz oder anderen Rechtsvorschriften.
25c,"Datenerhebung durch Personen, deren Zusammenarbeit mit der Polizei Dritten nicht bekannt ist, und durch Verdeckte Ermittler",P25c-A4,4,"Maßnahmen nach Absatz 1 Nummer 1, die sich gegen eine bestimmte Person richten, bedürfen der gerichtlichen Anordnung, die von der Polizeipräsidentin oder dem Polizeipräsidenten oder der Vertretung im Amt zu beantragen ist. Gleiches gilt für Maßnahmen nach Absatz 1 Nummer 2, die sich gegen eine bestimmte Person richten oder in deren Rahmen der Verdeckte Ermittler auch zum Betreten nicht allgemein zugänglicher Wohnungen befugt sein soll. Bei Gefahr im Verzug kann die Anordnung durch die Polizeipräsidentin oder den Polizeipräsidenten oder die Vertretung im Amt getroffen werden. Die gerichtliche Bestätigung der Anordnung ist in diesem Fall unverzüglich einzuholen; dies gilt auch, wenn die Maßnahme bereits beendet ist. Die Anordnung tritt außer Kraft, wenn sie nicht binnen drei Werktagen gerichtlich bestätigt wird. In diesem Fall dürfen die bereits erhobenen Daten nicht mehr verwendet werden; diese Daten sind unverzüglich zu löschen. Sind bereits Daten übermittelt worden, die nach Satz 5 zu löschen sind, so ist die empfangende Stelle darüber zu unterrichten. Im Übrigen dürfen Maßnahmen nach Absatz 1 durch die Polizeipräsidentin oder den Polizeipräsidenten oder die Vertretung im Amt angeordnet werden. Die Anordnung ist bei Maßnahmen nach Absatz 1 Nummer 1 auf höchstens sechs Monate, bei Maßnahmen nach Absatz 1 Nummer 2 auf höchstens ein Jahr zu befristen. Die Anordnung einer Maßnahme nach Absatz 1 Nummer 1 kann um jeweils höchstens sechs Monate, die Anordnung einer Maßnahme nach Absatz 1 Nummer 2 um jeweils höchstens ein Jahr verlängert werden, soweit die Voraussetzungen der Anordnung fortbestehen. Liegen die Voraussetzungen der Anordnung nicht mehr vor, ist die Maßnahme unverzüglich zu beenden."
26,Datenerhebung durch Telekommunikationsüberwachung,P26-A1,1,"Die Polizei kann ohne Wissen der betroffenen Person deren Telekommunikation überwachen und aufzeichnen, wenn"
26,Datenerhebung durch Telekommunikationsüberwachung,,,"die Person nach den §§ 13 oder 14 verantwortlich ist, und die Maßnahme zur Abwehr einer dringenden Gefahr für den Bestand oder die Sicherheit des Bundes oder eines Landes, für Leib, Leben, Freiheit oder sexuelle Selbstbestimmung einer Person oder für Sachen von bedeutendem Wert, deren Erhaltung im öffentlichen Interesse liegt, geboten ist,"
26,Datenerhebung durch Telekommunikationsüberwachung,,,"Tatsachen die Annahme rechtfertigen, dass die Person innerhalb eines übersehbaren Zeitraums auf eine zumindest ihrer Art nach konkretisierte Weise"
26,Datenerhebung durch Telekommunikationsüberwachung,,,eine terroristische Straftat oder
26,Datenerhebung durch Telekommunikationsüberwachung,,,eine in § 100b Absatz 2 der Strafprozessordnung genannte und voraussichtlich auch im Einzelfall besonders schwerwiegende Straftat
26,Datenerhebung durch Telekommunikationsüberwachung,,,"begehen oder an ihr teilnehmen wird,"
26,Datenerhebung durch Telekommunikationsüberwachung,,,"das individuelle Verhalten der Person die konkrete Wahrscheinlichkeit begründet, dass sie innerhalb eines übersehbaren Zeitraumes eine terroristische Straftat begehen oder an ihr teilnehmen wird, oder"
26,Datenerhebung durch Telekommunikationsüberwachung,,,"Tatsachen die Annahme rechtfertigen, dass"
26,Datenerhebung durch Telekommunikationsüberwachung,,,"die Person Mitteilungen, die für eine in den Nummern 1 bis 3 genannte Person bestimmt sind oder die von dieser herrühren, entgegennimmt oder weitergibt, oder"
26,Datenerhebung durch Telekommunikationsüberwachung,,,der Telekommunikationsanschluss oder das Endgerät der Person von einer in den Nummern 1 bis 3 genannten Person genutzt wird.
26,Datenerhebung durch Telekommunikationsüberwachung,,,"Die Maßnahme ist nur zulässig, wenn die Abwehr der Gefahr oder die Verhütung der Straftat auf andere Weise aussichtslos oder wesentlich erschwert wäre; sie darf nicht außer Verhältnis zur Bedeutung des aufzuklärenden Sachverhalts stehen. Die Maßnahme darf auch durchgeführt werden, wenn andere Personen unvermeidbar betroffen werden."
26,Datenerhebung durch Telekommunikationsüberwachung,P26-A2,2,"Die Maßnahme bedarf der gerichtlichen Anordnung, die von der Polizeipräsidentin oder dem Polizeipräsidenten oder der Vertretung im Amt zu beantragen ist. Bei Gefahr im Verzug kann die Anordnung durch die Polizeipräsidentin oder den Polizeipräsidenten oder die Vertretung im Amt getroffen werden. Die gerichtliche Bestätigung der Anordnung ist in diesem Fall unverzüglich einzuholen. Die Anordnung tritt außer Kraft, wenn sie nicht binnen drei Werktagen gerichtlich bestätigt wird. In diesem Fall dürfen die bereits erhobenen Daten nicht mehr verwendet werden; sie sind unverzüglich zu löschen. Sind bereits Daten übermittelt worden, die nach Satz 5 zu löschen sind, so ist die empfangende Stelle darüber zu unterrichten."
26,Datenerhebung durch Telekommunikationsüberwachung,P26-A3,3,"Die Anordnung ist auf höchstens drei Monate zu befristen. Eine Verlängerung um jeweils nicht mehr als drei weitere Monate ist auf Antrag zulässig, soweit die Voraussetzungen der Anordnung fortbestehen. Liegen die Voraussetzungen der Anordnung nicht mehr vor, ist die Maßnahme unverzüglich zu beenden."
26,Datenerhebung durch Telekommunikationsüberwachung,P26-A4,4,"Auf Grund der Anordnung hat jeder, der geschäftsmäßig Telekommunikationsdienste erbringt oder daran mitwirkt, der Polizei die Maßnahme zu ermöglichen und die erforderlichen Auskünfte unverzüglich zu erteilen."
26a,Datenerhebung durch Telekommunikationsüberwachung informationstechnischer Systeme,P26a-A1,1,"Maßnahmen nach § 26 Absatz 1 können in der Weise erfolgen, dass mit technischen Mitteln in von den genannten Personen genutzte informationstechnische Systeme eingegriffen wird, wenn"
26a,Datenerhebung durch Telekommunikationsüberwachung informationstechnischer Systeme,,,"Tatsachen die Annahme rechtfertigen, dass die Person innerhalb eines übersehbaren Zeitraums auf eine zumindest ihrer Art nach konkretisierte Weise"
26a,Datenerhebung durch Telekommunikationsüberwachung informationstechnischer Systeme,,,eine terroristische Straftat oder
26a,Datenerhebung durch Telekommunikationsüberwachung informationstechnischer Systeme,,,"eine in § 100b Absatz 2 der Strafprozessordnung genannte und voraussichtlich auch im Einzelfall besonders schwerwiegende Straftat organisiert, insbesondere banden-, gewerbs- oder serienmäßig,"
26a,Datenerhebung durch Telekommunikationsüberwachung informationstechnischer Systeme,,,"begehen oder an ihr teilnehmen wird,"
26a,Datenerhebung durch Telekommunikationsüberwachung informationstechnischer Systeme,,,"das individuelle Verhalten einer Person die konkrete Wahrscheinlichkeit begründet, dass sie innerhalb eines übersehbaren Zeitraums eine terroristische Straftat begehen oder an ihr teilnehmen wird, oder"
26a,Datenerhebung durch Telekommunikationsüberwachung informationstechnischer Systeme,,,"Tatsachen die Annahme rechtfertigen, dass"
26a,Datenerhebung durch Telekommunikationsüberwachung informationstechnischer Systeme,,,"die Person Mitteilungen, die für eine in den Nummern 1 oder 2 genannte Person bestimmt sind oder die von dieser herrühren, entgegennimmt oder weitergibt, oder"
26a,Datenerhebung durch Telekommunikationsüberwachung informationstechnischer Systeme,,,"der Telekommunikationsanschluss oder das Endgerät der Person von einer in den Nummern 1 oder 2 genannten Person genutzt wird,"
26a,Datenerhebung durch Telekommunikationsüberwachung informationstechnischer Systeme,,,"und der Eingriff notwendig ist, um die Telekommunikation insbesondere in unverschlüsselter Form überwachen und aufzeichnen zu können."
26a,Datenerhebung durch Telekommunikationsüberwachung informationstechnischer Systeme,P26a-A2,2,"Es ist technisch sicherzustellen, dass"
26a,Datenerhebung durch Telekommunikationsüberwachung informationstechnischer Systeme,,,"ausschließlich laufende Telekommunikation überwacht und aufgezeichnet wird,"
26a,Datenerhebung durch Telekommunikationsüberwachung informationstechnischer Systeme,,,"an dem informationstechnischen System nur Veränderungen vorgenommen werden, die für die Datenerhebung unerlässlich sind, und"
26a,Datenerhebung durch Telekommunikationsüberwachung informationstechnischer Systeme,,,"die vorgenommenen Veränderungen bei Beendigung der Maßnahme, soweit technisch möglich, automatisiert rückgängig gemacht werden."
26a,Datenerhebung durch Telekommunikationsüberwachung informationstechnischer Systeme,,,"Das eingesetzte Mittel ist nach dem Stand der Technik gegen unbefugte Nutzung zu schützen. Kopierte Daten sind nach dem Stand der Technik gegen Veränderung, unbefugte Löschung und unbefugte Kenntnisnahme zu schützen."
26a,Datenerhebung durch Telekommunikationsüberwachung informationstechnischer Systeme,P26a-A3,3,"Soweit dies zur Durchführung der Maßnahme erforderlich ist, sind verdeckte Durchsuchungen von Sachen sowie das verdeckte Betreten und Durchsuchen von Räumlichkeiten der betroffenen Personen zulässig. Hierfür gilt § 26 Absatz 2 entsprechend."
26b,Datenerhebung durch verdeckten Eingriff in informationstechnische Systeme,P26b-A1,1,Unter den gleichen Voraussetzungen wie in § 26a Absatz 1 kann die Polizei durch den verdeckten Einsatz technischer Mittel in von einer in § 26a Absatz 1 Nummer 1 oder 2 genannten Person genutzte informationstechnische Systeme eingreifen und aus ihnen Daten erheben.
26b,Datenerhebung durch verdeckten Eingriff in informationstechnische Systeme,P26b-A2,2,"In informationstechnische Systeme anderer Personen darf die Maßnahme nur eingreifen, wenn Tatsachen die Annahme rechtfertigen, dass eine in § 26a Absatz 1 Nummer 1 oder 2 genannte Person dort relevante Informationen speichert, und die Maßnahme zur Abwehr der Gefahr oder zur Verhütung der Straftat unerlässlich ist."
26b,Datenerhebung durch verdeckten Eingriff in informationstechnische Systeme,P26b-A3,3,"Die Maßnahme ist nur zulässig, wenn die Abwehr der Gefahr oder die Verhütung der Straftat auf andere Weise aussichtslos oder wesentlich erschwert wäre; sie darf nicht außer Verhältnis zur Bedeutung des aufzuklärenden Sachverhalts stehen. Die Maßnahme darf auch durchgeführt werden, wenn andere Personen unvermeidbar betroffen werden."
26b,Datenerhebung durch verdeckten Eingriff in informationstechnische Systeme,P26b-A4,4,"Soweit dies zur Durchführung der Maßnahme erforderlich ist, kann die Polizei unter den dort genannten Voraussetzungen technische Mittel einsetzen, um erforderliche Verkehrsdaten, insbesondere spezifische Kennungen oder Standortdaten eines informationstechnischen Systems, zu erheben. Personenbezogene Daten Dritter dürfen dabei nur erhoben werden, wenn dies aus technischen Gründen unvermeidbar ist. Nach Beendigung der Maßnahme sind diese personenbezogenen Daten Dritter unverzüglich zu löschen. Die Löschung ist zu dokumentieren."
26b,Datenerhebung durch verdeckten Eingriff in informationstechnische Systeme,P26b-A5,5,"Soweit dies zur Durchführung der Maßnahme erforderlich ist, sind verdeckte Durchsuchungen von Sachen sowie das verdeckte Betreten und Durchsuchen von Räumlichkeiten der betroffenen Personen zulässig."
26b,Datenerhebung durch verdeckten Eingriff in informationstechnische Systeme,P26b-A6,6,"Die Maßnahmen nach den Absätzen 1 bis 5 bedürfen der gerichtlichen Anordnung, die von der Polizeipräsidentin oder dem Polizeipräsidenten oder der Vertretung im Amt zu beantragen ist. Bei Gefahr im Verzug kann die Anordnung durch die Polizeipräsidentin oder den Polizeipräsidenten oder die Vertretung im Amt getroffen werden. Die gerichtliche Bestätigung der Anordnung ist in diesem Fall unverzüglich einzuholen. Die Anordnung tritt außer Kraft, wenn sie nicht binnen drei Werktagen gerichtlich bestätigt wird. In diesem Fall dürfen die bereits erhobenen Daten nicht mehr verwendet werden; sie sind unverzüglich zu löschen. Sind bereits Daten übermittelt worden, die nach Satz 5 zu löschen sind, so ist die empfangende Stelle darüber zu unterrichten."
26b,Datenerhebung durch verdeckten Eingriff in informationstechnische Systeme,P26b-A7,7,"Die Anordnung ist auf höchstens einen Monat zu befristen. Eine Verlängerung um jeweils nicht mehr als einen weiteren Monat ist auf Antrag zulässig, soweit die Voraussetzungen der Anordnung fortbestehen. Liegen die Voraussetzungen der Anordnung nicht mehr vor, ist die Maßnahme unverzüglich zu beenden."
26b,Datenerhebung durch verdeckten Eingriff in informationstechnische Systeme,P26b-A8,8,Sämtliche mit einer Maßnahme nach Absatz 1 erhobenen personenbezogenen Daten sind dem anordnenden Gericht unverzüglich vorzulegen und dürfen bis zu der Entscheidung des Gerichts nicht verwendet werden. Das Gericht entscheidet unverzüglich über die Verwertbarkeit oder Löschung dieser Daten zum Schutz des Kernbereichs privater Lebensgestaltung nach § 27a Absatz 1 und 3 sowie zum Schutz zeugnisverweigerungsberechtigter Berufsgeheimnisträgerinnen und Berufsgeheimnisträger nach § 18a; es unterrichtet die Polizei unverzüglich über den Inhalt der verwertbaren Daten. § 27a Absatz 5 gilt entsprechend.
26b,Datenerhebung durch verdeckten Eingriff in informationstechnische Systeme,P26b-A9,9,§ 26 Absatz 4 und § 26a Absatz 2 Satz 1 Nummer 2 und 3 sowie Satz 2 und 3 gelten entsprechend.
26c,Bestandsdatenauskunft,P26c-A1,1,Die Polizei kann Auskunft verlangen
26c,Bestandsdatenauskunft,,,"von demjenigen, der Telekommunikationsdienste erbringt (Telekommunikationsdiensteanbieter) oder daran mitwirkt, über Bestandsdaten im Sinne des § 3 Nummer 6, § 172 des Telekommunikationsgesetzes,"
26c,Bestandsdatenauskunft,,,"von demjenigen, der eigene oder fremde digitale Dienste erbringt, an der Erbringung mitwirkt oder den Zugang zur Nutzung von eigenen oder fremden digitalen Diensten vermittelt (Anbieter von digitalen Diensten), über Bestandsdaten im Sinne des § 2 Absatz 2 Nummer 2 des Telekommunikation-Digitale-Dienste-Datenschutz-Gesetzes."
26c,Bestandsdatenauskunft,P26c-A2,2,"Die Auskunft darf nur verlangt werden, soweit die Daten im Einzelfall erforderlich sind"
26c,Bestandsdatenauskunft,,,"zur Abwehr einer Gefahr für die öffentliche Sicherheit,"
26c,Bestandsdatenauskunft,,,"zum Schutz von Bestand oder Sicherheit des Bundes oder eines Landes, von Leib, Leben, Freiheit oder sexueller Selbstbestimmung einer Person, von Sachen von bedeutendem Wert, deren Erhaltung im öffentlichen Interesse liegt, oder von nicht unerheblichen Sachwerten, wenn Tatsachen den Schluss auf ein wenigstens seiner Art nach konkretisiertes sowie zeitlich absehbares Geschehen zulassen, an dem bestimmte Personen beteiligt sein werden,"
26c,Bestandsdatenauskunft,,,"zum Schutz von Bestand oder Sicherheit des Bundes oder eines Landes, von Leib, Leben, Freiheit oder sexueller Selbstbestimmung einer Person, von Sachen von bedeutendem Wert, deren Erhaltung im öffentlichen Interesse liegt, wenn das individuelle Verhalten einer Person die konkrete Wahrscheinlichkeit begründet, dass sie in einem übersehbaren Zeitraum eine gegen ein solches Rechtsgut gerichtete Straftat begehen wird,"
26c,Bestandsdatenauskunft,,,"zur Verhütung einer Straftat von erheblicher Bedeutung, sofern Tatsachen die Annahme rechtfertigen, dass eine Person innerhalb eines übersehbaren Zeitraums auf eine ihrer Art nach konkretisierte Weise eine solche Straftat begehen oder an ihr teilnehmen wird, oder"
26c,Bestandsdatenauskunft,,,"zur Verhütung einer in § 100a Absatz 2 der Strafprozessordnung bezeichneten schweren Straftat, sofern das individuelle Verhalten einer Person die konkrete Wahrscheinlichkeit begründet, dass die Person innerhalb eines übersehbaren Zeitraums die Tat begehen wird."
26c,Bestandsdatenauskunft,,,"Werden Bestandsdaten zur Vorbereitung oder Durchführung einer anderweitigen Maßnahme benötigt, darf die Auskunft nur verlangt werden, wenn zudem im Einzelfall die gesetzlichen Voraussetzungen für die konkret beabsichtigte Nutzung der Daten im Zeitpunkt des Auskunftsverlangens vorliegen."
26c,Bestandsdatenauskunft,P26c-A3,3,"Bezieht sich ein Auskunftsverlangen auf Daten, mittels derer der Zugriff auf Endgeräte oder auf Speichereinrichtungen, die in diesen Endgeräten oder hiervon räumlich getrennt eingesetzt werden, geschützt wird, darf Auskunft über Bestandsdaten nach Absatz 1 Nummer 1 nur unter den Voraussetzungen des Absatzes 2 und nur dann verlangt werden, wenn im Einzelfall im Zeitpunkt des Ersuchens auch die gesetzlichen Voraussetzungen für die konkret beabsichtigte Nutzung der Daten vorliegen. Auskunft nach Absatz 1 Nummer 2 über Passwörter oder andere Daten, mittels derer der Zugriff auf Endgeräte oder auf Speichereinrichtungen, die in diesen Endgeräten oder hiervon räumlich getrennt eingesetzt werden, geschützt wird, darf nur verlangt werden"
26c,Bestandsdatenauskunft,,,"zur Abwehr einer Gefahr für den Bestand des Bundes oder eines Landes, für Leib, Leben, Freiheit oder sexuelle Selbstbestimmung einer Person oder für Sachen von bedeutendem Wert, deren Erhaltung im öffentlichen Interesse liegt, und"
26c,Bestandsdatenauskunft,,,wenn im Einzelfall die gesetzlichen Voraussetzungen für die konkret beabsichtigte Nutzung der Daten im Zeitpunkt des Auskunftsverlangens vorliegen.
26c,Bestandsdatenauskunft,P26c-A4,4,"Die Auskunft kann auch anhand einer zu einem bestimmten Zeitpunkt zugewiesenen Internetprotokoll-Adresse verlangt werden,"
26c,Bestandsdatenauskunft,,,"soweit dies im Einzelfall erforderlich ist, bei"
